"icd","vocabulary_id","ICD_string","phecode","phecode_string","category_num","category"
"L54.0","ICD10","Erythema marginatum in acute rheumatic fever","ID_004.2","Group A Streptococcus","01","Infections"
"I01.2","ICD10","Acute rheumatic myocarditis","ID_004.2","Group A Streptococcus","01","Infections"
"B95.0","ICD10","Streptococcus, group A, as the cause of diseases classified to other chapters","ID_004.2","Group A Streptococcus","01","Infections"
"I01.8","ICD10","Other acute rheumatic heart disease","ID_004.2","Group A Streptococcus","01","Infections"
"I01.9","ICD10","Acute rheumatic heart disease, unspecified","ID_004.2","Group A Streptococcus","01","Infections"
"J15.3","ICD10","Pneumonia due to streptococcus, group B","ID_004.3","Group B Streptococcus","01","Infections"
"A40.1","ICD10","Sepsis due to streptococcus, group B","ID_004.3","Group B Streptococcus","01","Infections"
"P23.3","ICD10","Congenital pneumonia due to streptococcus, group B","ID_004.3","Group B Streptococcus","01","Infections"
"B95.1","ICD10","Streptococcus, group B, as the cause of diseases classified to other chapters","ID_004.3","Group B Streptococcus","01","Infections"
"A38","ICD10","Scarlet fever","ID_004.4","Scarlet fever","01","Infections"
"A31","ICD10","Infection due to other mycobacteria","ID_005","Mycobacteria","01","Infections"
"A31.0","ICD10","Pulmonary mycobacterial infection","ID_005","Mycobacteria","01","Infections"
"A31.1","ICD10","Cutaneous mycobacterial infection","ID_005","Mycobacteria","01","Infections"
"A31.8","ICD10","Other mycobacterial infections","ID_005","Mycobacteria","01","Infections"
"A31.9","ICD10","Mycobacterial infection, unspecified","ID_005","Mycobacteria","01","Infections"
"A16.4","ICD10","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.5","ICD10","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.2","ICD10","Tuberculous peripheral lymphadenopathy","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.5","ICD10","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"O98.0","ICD10","Tuberculosis complicating pregnancy, childbirth and the puerperium","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.3","ICD10","Tuberculosis of intestines, peritoneum and mesenteric glands","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.6","ICD10","Tuberculous pleurisy, confirmed bacteriologically and histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"B90","ICD10","Sequelae of tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.4","ICD10","Tuberculosis of skin and subcutaneous tissue","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"B90.0","ICD10","Sequelae of central nervous system tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.7","ICD10","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"B90.1","ICD10","Sequelae of genitourinary tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.7","ICD10","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"B90.2","ICD10","Sequelae of tuberculosis of bones and joints","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.5","ICD10","Tuberculosis of eye","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"B90.8","ICD10","Sequelae of tuberculosis of other organs","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.8","ICD10","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"Z22.7","ICD10","Latent tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"B90.9","ICD10","Sequelae of respiratory and unspecified tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.8","ICD10","Other respiratory tuberculosis, confirmed bacteriologically and histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.6","ICD10","Tuberculosis of ear","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.9","ICD10","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.9","ICD10","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.7","ICD10","Tuberculosis of adrenal glands","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"M49.0","ICD10","Tuberculosis of spine","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15","ICD10","Respiratory tuberculosis, bacteriologically and histologically confirmed","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A17","ICD10","Tuberculosis of nervous system","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.8","ICD10","Tuberculosis of other specified organs","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"K67.3","ICD10","Tuberculous peritonitis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16","ICD10","Respiratory tuberculosis, not confirmed bacteriologically or histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A19","ICD10","Miliary tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.0","ICD10","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A17.0","ICD10","Tuberculous meningitis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A19.0","ICD10","Acute miliary tuberculosis of a single specified site","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"M01.1","ICD10","Tuberculous arthritis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.0","ICD10","Tuberculosis of lung, bacteriologically and histologically negative","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A17.1","ICD10","Meningeal tuberculoma","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.1","ICD10","Tuberculosis of lung, confirmed by culture only","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A19.1","ICD10","Acute miliary tuberculosis of multiple sites","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A17.8","ICD10","Other tuberculosis of nervous system","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.1","ICD10","Tuberculosis of lung, bacteriological and histological examination not done","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"K23.0","ICD10","Tuberculous oesophagitis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A19.2","ICD10","Acute miliary tuberculosis, unspecified","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A17.9","ICD10","Tuberculosis of nervous system, unspecified","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"M90.0","ICD10","Tuberculosis of bone","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.2","ICD10","Tuberculosis of lung, confirmed histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"N33.0","ICD10","Tuberculous cystitis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"N74.0","ICD10","Tuberculous infection of cervix uteri","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A19.8","ICD10","Other miliary tuberculosis","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.2","ICD10","Tuberculosis of lung, without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"K93.0","ICD10","Tuberculous disorders of intestines, peritoneum and mesenteric glands","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18","ICD10","Tuberculosis of other organs","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.3","ICD10","Tuberculosis of lung, confirmed by unspecified means","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"N74.1","ICD10","Female tuberculous pelvic inflammatory disease","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A19.9","ICD10","Miliary tuberculosis, unspecified","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A16.3","ICD10","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.0","ICD10","Tuberculosis of bones and joints","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A15.4","ICD10","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A18.1","ICD10","Tuberculosis of genitourinary system","ID_005.1","Mycobacterium tuberculosis","01","Infections"
"A30.8","ICD10","Other forms of leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.9","ICD10","Leprosy, unspecified","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"B92","ICD10","Sequelae of leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30","ICD10","Leprosy [Hansen disease]","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.0","ICD10","Indeterminate leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.1","ICD10","Tuberculoid leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.2","ICD10","Borderline tuberculoid leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.3","ICD10","Borderline leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.4","ICD10","Borderline lepromatous leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A30.5","ICD10","Lepromatous leprosy","ID_005.3","Mycobacterium leprae [Leprosy]","01","Infections"
"A39","ICD10","Meningococcal infection","ID_006","Neisseria","01","Infections"
"M03.0","ICD10","Postmeningococcal arthritis","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.0","ICD10","Meningococcal meningitis","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.1","ICD10","Waterhouse-Friderichsen syndrome","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.2","ICD10","Acute meningococcemia","ID_006.1","Neisseria meningitidis","01","Infections"
"M01.0","ICD10","Meningococcal arthritis","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.3","ICD10","Chronic meningococcemia","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.4","ICD10","Meningococcemia, unspecified","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.5","ICD10","Meningococcal heart disease","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.8","ICD10","Other meningococcal infections","ID_006.1","Neisseria meningitidis","01","Infections"
"A39.9","ICD10","Meningococcal infection, unspecified","ID_006.1","Neisseria meningitidis","01","Infections"
"A54.4","ICD10","Gonococcal infection of musculoskeletal system","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.5","ICD10","Gonococcal pharyngitis","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.6","ICD10","Gonococcal infection of anus and rectum","ID_006.2","Neisseria gonorrhea","01","Infections"
"O98.2","ICD10","Gonorrhoea complicating pregnancy, childbirth and the puerperium","ID_006.2","Neisseria gonorrhea","01","Infections"
"K67.1","ICD10","Gonococcal peritonitis","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.8","ICD10","Other gonococcal infections","ID_006.2","Neisseria gonorrhea","01","Infections"
"M73.0","ICD10","Gonococcal bursitis","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.9","ICD10","Gonococcal infection, unspecified","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54","ICD10","Gonococcal infection","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.0","ICD10","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.1","ICD10","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.2","ICD10","Gonococcal pelviperitonitis and other gonococcal genitourinary infections","ID_006.2","Neisseria gonorrhea","01","Infections"
"A54.3","ICD10","Gonococcal infection of eye","ID_006.2","Neisseria gonorrhea","01","Infections"
"N74.3","ICD10","Female gonococcal pelvic inflammatory disease","ID_006.2","Neisseria gonorrhea","01","Infections"
"G00.0","ICD10","Haemophilus meningitis","ID_007","Hemophilus infection","01","Infections"
"A49.2","ICD10","Haemophilus influenzae infection, unspecified site","ID_007.1","Hemophilus influenzae","01","Infections"
"J20.1","ICD10","Acute bronchitis due to Haemophilus influenzae","ID_007.1","Hemophilus influenzae","01","Infections"
"B96.3","ICD10","Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters","ID_007.1","Hemophilus influenzae","01","Infections"
"J14","ICD10","Pneumonia due to Haemophilus influenzae","ID_007.1","Hemophilus influenzae","01","Infections"
"A48.4","ICD10","Brazilian purpuric fever","ID_007.1","Hemophilus influenzae","01","Infections"
"A41.3","ICD10","Sepsis due to Haemophilus influenzae","ID_007.1","Hemophilus influenzae","01","Infections"
"A57","ICD10","Chancroid","ID_007.2","Haemophilus ducreyi","01","Infections"
"B98.0","ICD10","Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters","ID_008","Helicobacter [H. pylori]","01","Infections"
"B96.5","ICD10","Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters","ID_009","Pseudomonas","01","Infections"
"J15.1","ICD10","Pneumonia due to Pseudomonas","ID_009","Pseudomonas","01","Infections"
"P23.5","ICD10","Congenital pneumonia due to Pseudomonas","ID_009","Pseudomonas","01","Infections"
"L08.1","ICD10","Erythrasma","ID_010","Corynebacterium","01","Infections"
"A36","ICD10","Diphtheria","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"A36.0","ICD10","Pharyngeal diphtheria","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"A36.1","ICD10","Nasopharyngeal diphtheria","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"A36.2","ICD10","Laryngeal diphtheria","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"A36.3","ICD10","Cutaneous diphtheria","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"A36.8","ICD10","Other diphtheria","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"A36.9","ICD10","Diphtheria, unspecified","ID_010.1","Corynebacterium diphtheriae","01","Infections"
"B96.1","ICD10","Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters","ID_011","Klebsiella","01","Infections"
"A58","ICD10","Granuloma inguinale","ID_011","Klebsiella","01","Infections"
"J15.0","ICD10","Pneumonia due to Klebsiella pneumoniae","ID_011","Klebsiella","01","Infections"
"B96.4","ICD10","Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters","ID_012","Proteus","01","Infections"
"A49.3","ICD10","Mycoplasma infection, unspecified site","ID_013","Mycoplasma","01","Infections"
"B96.0","ICD10","Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters","ID_013","Mycoplasma","01","Infections"
"J20.0","ICD10","Acute bronchitis due to Mycoplasma pneumoniae","ID_013","Mycoplasma","01","Infections"
"J15.7","ICD10","Pneumonia due to Mycoplasma pneumoniae","ID_013","Mycoplasma","01","Infections"
"B96.6","ICD10","Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters","ID_014","Bacteroides fragilis","01","Infections"
"A33","ICD10","Tetanus neonatorum","ID_015","Clostridium","01","Infections"
"A34","ICD10","Obstetrical tetanus","ID_015","Clostridium","01","Infections"
"A35","ICD10","Other tetanus","ID_015","Clostridium","01","Infections"
"A48.0","ICD10","Gas gangrene","ID_015","Clostridium","01","Infections"
"A05.2","ICD10","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","ID_015.1","Clostridium perfringens","01","Infections"
"B96.7","ICD10","Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters","ID_015.1","Clostridium perfringens","01","Infections"
"A04.7","ICD10","Enterocolitis due to Clostridium difficile","ID_015.2","Clostridium difficile","01","Infections"
"A05.1","ICD10","Botulism","ID_015.3","Clostridium botulinum","01","Infections"
"N74.4","ICD10","Female chlamydial pelvic inflammatory disease","ID_016","Chlamydia","01","Infections"
"P23.1","ICD10","Congenital pneumonia due to Chlamydia","ID_016","Chlamydia","01","Infections"
"A74","ICD10","Other diseases caused by chlamydiae","ID_016","Chlamydia","01","Infections"
"A56","ICD10","Other sexually transmitted chlamydial diseases","ID_016","Chlamydia","01","Infections"
"A74.8","ICD10","Other chlamydial diseases","ID_016","Chlamydia","01","Infections"
"J16.0","ICD10","Chlamydial pneumonia","ID_016","Chlamydia","01","Infections"
"A74.9","ICD10","Chlamydial infection, unspecified","ID_016","Chlamydia","01","Infections"
"A56.3","ICD10","Chlamydial infection of anus and rectum","ID_016.1","Chlamydia trachomatis","01","Infections"
"A71","ICD10","Trachoma","ID_016.1","Chlamydia trachomatis","01","Infections"
"A56.4","ICD10","Chlamydial infection of pharynx","ID_016.1","Chlamydia trachomatis","01","Infections"
"A71.0","ICD10","Initial stage of trachoma","ID_016.1","Chlamydia trachomatis","01","Infections"
"A56.8","ICD10","Sexually transmitted chlamydial infection of other sites","ID_016.1","Chlamydia trachomatis","01","Infections"
"K67.0","ICD10","Chlamydial peritonitis","ID_016.1","Chlamydia trachomatis","01","Infections"
"A71.1","ICD10","Active stage of trachoma","ID_016.1","Chlamydia trachomatis","01","Infections"
"A71.9","ICD10","Trachoma, unspecified","ID_016.1","Chlamydia trachomatis","01","Infections"
"B94.0","ICD10","Sequelae of trachoma","ID_016.1","Chlamydia trachomatis","01","Infections"
"A55","ICD10","Chlamydial lymphogranuloma (venereum)","ID_016.1","Chlamydia trachomatis","01","Infections"
"A74.0","ICD10","Chlamydial conjunctivitis","ID_016.1","Chlamydia trachomatis","01","Infections"
"A56.0","ICD10","Chlamydial infection of lower genitourinary tract","ID_016.1","Chlamydia trachomatis","01","Infections"
"A56.1","ICD10","Chlamydial infection of pelviperitoneum and other genitourinary organs","ID_016.1","Chlamydia trachomatis","01","Infections"
"A56.2","ICD10","Chlamydial infection of genitourinary tract, unspecified","ID_016.1","Chlamydia trachomatis","01","Infections"
"A70","ICD10","Chlamydia psittaci infection","ID_016.2","Chlamydia psittaci","01","Infections"
"A44","ICD10","Bartonellosis","ID_017","Bartonellosis","01","Infections"
"A44.0","ICD10","Systemic bartonellosis","ID_017","Bartonellosis","01","Infections"
"A44.1","ICD10","Cutaneous and mucocutaneous bartonellosis","ID_017","Bartonellosis","01","Infections"
"A44.8","ICD10","Other forms of bartonellosis","ID_017","Bartonellosis","01","Infections"
"A44.9","ICD10","Bartonellosis, unspecified","ID_017","Bartonellosis","01","Infections"
"A28.1","ICD10","Cat-scratch disease","ID_017","Bartonellosis","01","Infections"
"A79.0","ICD10","Trench fever","ID_017","Bartonellosis","01","Infections"
"A51.1","ICD10","Primary anal syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66.8","ICD10","Latent yaws","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A52.8","ICD10","Late syphilis, latent","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A51.2","ICD10","Primary syphilis of other sites","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66.9","ICD10","Yaws, unspecified","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A52.9","ICD10","Late syphilis, unspecified","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50","ICD10","Congenital syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A51.3","ICD10","Secondary syphilis of skin and mucous membranes","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"O98.1","ICD10","Syphilis complicating pregnancy, childbirth and the puerperium","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A53","ICD10","Other and unspecified syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.0","ICD10","Early congenital syphilis, symptomatic","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A51.4","ICD10","Other secondary syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"M03.1","ICD10","Postinfective arthropathy in syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.1","ICD10","Early congenital syphilis, latent","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A65","ICD10","Nonvenereal syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A53.0","ICD10","Latent syphilis, unspecified as early or late","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.2","ICD10","Early congenital syphilis, unspecified","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A51.5","ICD10","Early syphilis, latent","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"K67.2","ICD10","Syphilitic peritonitis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.3","ICD10","Late congenital syphilitic oculopathy","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66","ICD10","Yaws","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A53.9","ICD10","Syphilis, unspecified","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A51.9","ICD10","Early syphilis, unspecified","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66.0","ICD10","Initial lesions of yaws","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"M73.1","ICD10","Syphilitic bursitis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.4","ICD10","Late congenital neurosyphilis [juvenile neurosyphilis]","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A52","ICD10","Late syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66.1","ICD10","Multiple papillomata and wet crab yaws","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.5","ICD10","Other late congenital syphilis, symptomatic","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A52.0","ICD10","Cardiovascular syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"I98.0","ICD10","Cardiovascular syphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66.2","ICD10","Other early skin lesions of yaws","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.6","ICD10","Late congenital syphilis, latent","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A52.1","ICD10","Symptomatic neurosyphilis","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A66.3","ICD10","Hyperkeratosis of yaws","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
"A50.7","ICD10","Late congenital syphilis, unspecified","ID_019.1","Treponema pallidum [syphilis]","01","Infections"
